risk_id,project_id,period_id,risk_category,risk_description,probability_score,impact_score,risk_score,risk_severity,risk_status,mitigation_status,risk_owner_type,date_identified,target_resolution_date
20,3,202510,Vendor,Supplier capacity constraint,4,5,20,Critical,Open,Planned,Business Owner,2025-10-25,2026-02-02
21,4,202505,Change Management,Stakeholder resistance increasing,3,5,15,High,Open,Planned,Technical Lead,2025-05-24,2025-07-17
22,4,202505,Technical,Integration complexity exceeds plan,3,5,15,High,Open,Planned,PMO,2025-05-08,2025-07-25
23,4,202511,Schedule,Testing window compressed,4,5,20,Critical,Open,Not Started,Business Owner,2025-11-12,2026-01-21
24,4,202606,Schedule,Dependency delay threatens delivery,2,5,10,High,Mitigating,At Risk,Program Manager,2026-06-16,2026-09-12
25,4,202604,Resource,Specialist allocation conflict,3,4,12,High,Closed,Complete,PMO,2026-04-11,2026-05-25
26,4,202512,Schedule,Dependency delay threatens delivery,4,5,20,Critical,Closed,Complete,Project Manager,2025-12-20,2026-03-02
27,4,202502,Schedule,Critical milestone slippage,4,4,16,Critical,Mitigating,In Progress,Project Manager,2025-02-16,2025-04-20
28,5,202508,Technical,Integration complexity exceeds plan,3,2,6,Moderate,Closed,Complete,Project Manager,2025-08-18,2025-09-21
29,5,202603,Change Management,Adoption readiness behind plan,2,1,2,Low,Mitigating,At Risk,Project Manager,2026-03-14,2026-04-14
30,5,202502,Schedule,Critical milestone slippage,2,3,6,Moderate,Mitigating,On Track,Business Owner,2025-02-21,2025-05-06
31,5,202602,Vendor,Vendor deliverable delayed,2,2,4,Low,Open,Planned,Project Manager,2026-02-19,2026-04-22
32,6,202604,Schedule,Critical milestone slippage,3,5,15,High,Mitigating,On Track,Program Manager,2026-04-24,2026-07-28
33,6,202605,Financial,Contingency reserve under pressure,2,4,8,Moderate,Closed,Complete,Program Manager,2026-05-22,2026-07-20
34,6,202612,Resource,Specialist allocation conflict,4,5,20,Critical,Open,Planned,Project Manager,2026-12-14,2027-03-11
35,6,202501,Financial,Contingency reserve under pressure,2,4,8,Moderate,Mitigating,At Risk,PMO,2025-01-11,2025-02-28
36,6,202606,Financial,Vendor spend trending above plan,3,4,12,High,Open,Planned,Program Manager,2026-06-17,2026-09-20
37,6,202512,Financial,Vendor spend trending above plan,2,4,8,Moderate,Closed,Complete,Program Manager,2025-12-24,2026-02-11
38,6,202603,Scope,Scope growth not fully funded,4,3,12,High,Open,Not Started,PMO,2026-03-14,2026-06-13
39,7,202507,Technical,Architecture risk unresolved,1,2,2,Low,Closed,Complete,Business Owner,2025-07-11,2025-10-29
40,7,202509,Resource,Key role vacancy,1,3,3,Low,Closed,Complete,Project Manager,2025-09-11,2025-11-11
41,7,202607,Schedule,Testing window compressed,3,2,6,Moderate,Closed,Complete,Program Manager,2026-07-26,2026-09-17
42,7,202508,Resource,Key role vacancy,1,2,2,Low,Closed,Complete,PMO,2025-08-21,2025-10-09
43,8,202511,Resource,Critical skill capacity constrained,4,4,16,Critical,Mitigating,At Risk,Program Manager,2025-11-19,2026-02-24
44,8,202612,Resource,Specialist allocation conflict,3,3,9,Moderate,Mitigating,On Track,Technical Lead,2026-12-19,2027-01-24
45,8,202604,Financial,Forecast cost exceeds approved budget,2,4,8,Moderate,Open,Not Started,Project Manager,2026-04-07,2026-07-05
46,8,202606,Resource,Critical skill capacity constrained,3,3,9,Moderate,Closed,Complete,Project Manager,2026-06-19,2026-09-13
47,8,202604,Schedule,Critical milestone slippage,4,3,12,High,Mitigating,In Progress,PMO,2026-04-07,2026-05-19
48,8,202611,Resource,Critical skill capacity constrained,3,4,12,High,Closed,Complete,Program Manager,2026-11-22,2027-01-10
49,8,202612,Technical,Architecture risk unresolved,2,3,6,Moderate,Mitigating,In Progress,Project Manager,2026-12-26,2027-04-22
50,8,202606,Change Management,Training preparation delayed,3,4,12,High,Open,Planned,Program Manager,2026-06-21,2026-07-22
51,9,202607,Resource,Critical skill capacity constrained,4,4,16,Critical,Mitigating,At Risk,Business Owner,2026-07-21,2026-08-25
52,9,202602,Resource,Key role vacancy,3,4,12,High,Mitigating,At Risk,Program Manager,2026-02-17,2026-04-27
53,9,202510,Scope,Scope growth not fully funded,3,5,15,High,Closed,Complete,Program Manager,2025-10-24,2025-12-01
54,9,202602,Scope,Scope growth not fully funded,3,5,15,High,Open,Planned,Technical Lead,2026-02-04,2026-05-19
55,9,202504,Change Management,Training preparation delayed,2,5,10,High,Mitigating,On Track,PMO,2025-04-21,2025-07-29
56,9,202612,Resource,Specialist allocation conflict,2,5,10,High,Mitigating,On Track,PMO,2026-12-11,2027-01-10
57,10,202510,Resource,Key role vacancy,4,4,16,Critical,Open,Not Started,Program Manager,2025-10-12,2026-02-07
58,10,202509,Schedule,Testing window compressed,3,3,9,Moderate,Closed,Complete,Business Owner,2025-09-05,2025-12-15
59,10,202512,Resource,Critical skill capacity constrained,4,2,8,Moderate,Closed,Complete,PMO,2025-12-25,2026-04-23
60,10,202508,Financial,Contingency reserve under pressure,3,4,12,High,Open,Planned,Technical Lead,2025-08-07,2025-11-04
61,10,202602,Financial,Vendor spend trending above plan,2,3,6,Moderate,Open,Not Started,Business Owner,2026-02-16,2026-05-23
62,11,202509,Compliance,Approval dependency outstanding,2,2,4,Low,Open,Not Started,Program Manager,2025-09-14,2026-01-04
63,11,202612,Compliance,Control evidence incomplete,3,4,12,High,Closed,Complete,PMO,2026-12-15,2027-02-23
64,11,202509,Resource,Key role vacancy,3,3,9,Moderate,Open,Not Started,Project Manager,2025-09-11,2025-10-18
65,11,202606,Resource,Key role vacancy,2,3,6,Moderate,Closed,Complete,Program Manager,2026-06-22,2026-07-24
66,11,202606,Financial,Vendor spend trending above plan,2,3,6,Moderate,Closed,Complete,Technical Lead,2026-06-23,2026-09-06
67,12,202502,Resource,Critical skill capacity constrained,2,2,4,Low,Mitigating,In Progress,Program Manager,2025-02-20,2025-05-06
68,12,202608,Resource,Specialist allocation conflict,3,1,3,Low,Closed,Complete,Technical Lead,2026-08-25,2026-11-07
69,12,202605,Technical,Technical debt threatens delivery,3,2,6,Moderate,Mitigating,On Track,PMO,2026-05-25,2026-07-27
70,12,202601,Technical,Architecture risk unresolved,2,1,2,Low,Open,Not Started,Business Owner,2026-01-14,2026-04-02
71,12,202511,Vendor,Third-party dependency at risk,2,2,4,Low,Closed,Complete,Technical Lead,2025-11-08,2026-01-06
72,13,202609,Vendor,Third-party dependency at risk,3,3,9,Moderate,Open,Planned,Program Manager,2026-09-21,2026-12-28
73,13,202508,Change Management,Adoption readiness behind plan,2,3,6,Moderate,Mitigating,In Progress,Program Manager,2025-08-07,2025-10-01
74,13,202612,Financial,Contingency reserve under pressure,2,3,6,Moderate,Open,Not Started,PMO,2026-12-14,2027-03-22
75,13,202611,Technical,Architecture risk unresolved,1,2,2,Low,Closed,Complete,Program Manager,2026-11-09,2027-02-27
76,13,202604,Schedule,Testing window compressed,2,2,4,Low,Closed,Complete,Business Owner,2026-04-24,2026-06-20
77,14,202511,Compliance,Regulatory requirement unresolved,2,2,4,Low,Closed,Complete,PMO,2025-11-22,2026-01-07
78,14,202602,Resource,Key role vacancy,2,3,6,Moderate,Open,Planned,PMO,2026-02-08,2026-05-21
79,14,202602,Financial,Forecast cost exceeds approved budget,2,1,2,Low,Mitigating,On Track,Program Manager,2026-02-19,2026-05-29
80,15,202508,Financial,Forecast cost exceeds approved budget,3,5,15,High,Mitigating,In Progress,Project Manager,2025-08-14,2025-12-01
81,15,202610,Scope,Change requests threaten baseline,3,5,15,High,Closed,Complete,Project Manager,2026-10-25,2026-12-17
82,15,202601,Financial,Contingency reserve under pressure,3,4,12,High,Open,Planned,Technical Lead,2026-01-22,2026-03-11
83,15,202612,Vendor,Vendor deliverable delayed,3,5,15,High,Open,Planned,PMO,2026-12-11,2027-03-30
84,15,202502,Technical,Technical debt threatens delivery,2,5,10,High,Closed,Complete,PMO,2025-02-19,2025-05-04
85,15,202504,Financial,Contingency reserve under pressure,4,5,20,Critical,Mitigating,On Track,PMO,2025-04-10,2025-07-13
86,15,202604,Scope,Change requests threaten baseline,2,5,10,High,Mitigating,At Risk,PMO,2026-04-06,2026-07-22
87,16,202612,Financial,Contingency reserve under pressure,2,4,8,Moderate,Closed,Complete,Program Manager,2026-12-10,2027-04-08
88,16,202607,Resource,Key role vacancy,3,2,6,Moderate,Open,Planned,Program Manager,2026-07-17,2026-09-16
89,16,202501,Financial,Forecast cost exceeds approved budget,2,2,4,Low,Mitigating,In Progress,Technical Lead,2025-01-09,2025-04-21
90,16,202506,Compliance,Control evidence incomplete,2,2,4,Low,Open,Not Started,PMO,2025-06-08,2025-09-04
91,16,202612,Financial,Contingency reserve under pressure,2,3,6,Moderate,Open,Not Started,Business Owner,2026-12-25,2027-03-01
92,16,202606,Resource,Specialist allocation conflict,3,4,12,High,Mitigating,On Track,Project Manager,2026-06-24,2026-09-12
93,17,202610,Change Management,Stakeholder resistance increasing,1,4,4,Low,Mitigating,At Risk,PMO,2026-10-13,2026-11-13
94,17,202502,Schedule,Critical milestone slippage,2,3,6,Moderate,Mitigating,On Track,PMO,2025-02-06,2025-06-02
95,17,202611,Scope,Change requests threaten baseline,3,3,9,Moderate,Closed,Complete,Technical Lead,2026-11-10,2026-12-31
96,17,202511,Financial,Vendor spend trending above plan,2,3,6,Moderate,Closed,Complete,Technical Lead,2025-11-25,2025-12-29
97,17,202601,Scope,Change requests threaten baseline,2,3,6,Moderate,Open,Not Started,PMO,2026-01-23,2026-05-18
98,18,202510,Compliance,Approval dependency outstanding,1,4,4,Low,Closed,Complete,Program Manager,2025-10-19,2025-12-29
99,18,202503,Schedule,Testing window compressed,2,2,4,Low,Closed,Complete,Technical Lead,2025-03-14,2025-05-09
100,18,202506,Schedule,Critical milestone slippage,2,2,4,Low,Closed,Complete,Technical Lead,2025-06-07,2025-07-13
101,18,202603,Resource,Key role vacancy,3,3,9,Moderate,Closed,Complete,Technical Lead,2026-03-21,2026-04-27
102,19,202503,Technical,Technical debt threatens delivery,2,3,6,Moderate,Closed,Complete,Technical Lead,2025-03-10,2025-05-15
103,19,202506,Financial,Vendor spend trending above plan,2,2,4,Low,Open,Planned,Technical Lead,2025-06-14,2025-07-24
104,19,202507,Schedule,Critical milestone slippage,2,3,6,Moderate,Closed,Complete,Technical Lead,2025-07-17,2025-09-08
105,20,202606,Resource,Key role vacancy,3,3,9,Moderate,Closed,Complete,PMO,2026-06-25,2026-10-18
106,20,202509,Scope,Scope growth not fully funded,1,1,1,Low,Closed,Complete,Technical Lead,2025-09-23,2025-12-06
107,20,202612,Resource,Specialist allocation conflict,3,2,6,Moderate,Closed,Complete,Business Owner,2026-12-20,2027-04-17
108,20,202611,Financial,Vendor spend trending above plan,2,2,4,Low,Closed,Complete,Program Manager,2026-11-25,2027-01-26
109,21,202604,Resource,Specialist allocation conflict,3,4,12,High,Closed,Complete,PMO,2026-04-18,2026-06-15
110,21,202506,Vendor,Supplier capacity constraint,1,3,3,Low,Mitigating,In Progress,Project Manager,2025-06-13,2025-08-22
111,21,202504,Resource,Specialist allocation conflict,2,3,6,Moderate,Mitigating,At Risk,PMO,2025-04-13,2025-05-28
112,22,202504,Technical,Integration complexity exceeds plan,1,1,1,Low,Closed,Complete,Project Manager,2025-04-09,2025-06-10
113,22,202503,Technical,Integration complexity exceeds plan,3,2,6,Moderate,Mitigating,On Track,Program Manager,2025-03-19,2025-05-04
114,22,202504,Financial,Vendor spend trending above plan,3,2,6,Moderate,Closed,Complete,Business Owner,2025-04-10,2025-06-06
115,22,202510,Resource,Key role vacancy,2,1,2,Low,Closed,Complete,Business Owner,2025-10-09,2025-11-12
116,22,202608,Financial,Forecast cost exceeds approved budget,2,2,4,Low,Closed,Complete,Program Manager,2026-08-19,2026-09-19
117,23,202605,Compliance,Control evidence incomplete,4,5,20,Critical,Closed,Complete,Technical Lead,2026-05-21,2026-07-09
118,23,202605,Resource,Critical skill capacity constrained,5,5,25,Critical,Mitigating,In Progress,PMO,2026-05-07,2026-06-26
119,23,202610,Scope,Requirements instability,4,4,16,Critical,Open,Planned,Program Manager,2026-10-24,2027-01-05
120,23,202604,Change Management,Training preparation delayed,4,5,20,Critical,Open,Planned,PMO,2026-04-20,2026-07-19
121,23,202507,Financial,Contingency reserve under pressure,4,4,16,Critical,Closed,Complete,Program Manager,2025-07-07,2025-09-25
122,23,202506,Schedule,Dependency delay threatens delivery,5,5,25,Critical,Open,Planned,PMO,2025-06-24,2025-10-05
123,23,202502,Financial,Vendor spend trending above plan,4,4,16,Critical,Open,Planned,Project Manager,2025-02-08,2025-05-31
124,24,202607,Financial,Contingency reserve under pressure,2,4,8,Moderate,Closed,Complete,Project Manager,2026-07-11,2026-10-07
125,24,202612,Vendor,Third-party dependency at risk,2,3,6,Moderate,Mitigating,On Track,Project Manager,2026-12-15,2027-03-09
126,24,202605,Technical,Architecture risk unresolved,3,3,9,Moderate,Closed,Complete,Project Manager,2026-05-17,2026-07-14
127,24,202604,Resource,Critical skill capacity constrained,3,3,9,Moderate,Closed,Complete,Program Manager,2026-04-11,2026-07-14
128,25,202505,Financial,Forecast cost exceeds approved budget,3,2,6,Moderate,Open,Not Started,Business Owner,2025-05-09,2025-09-02
129,25,202602,Technical,Technical debt threatens delivery,3,3,9,Moderate,Closed,Complete,PMO,2026-02-19,2026-04-25
130,25,202502,Technical,Integration complexity exceeds plan,3,3,9,Moderate,Mitigating,On Track,Business Owner,2025-02-15,2025-05-18
131,25,202506,Technical,Architecture risk unresolved,3,4,12,High,Open,Planned,Technical Lead,2025-06-20,2025-08-22
132,25,202610,Technical,Architecture risk unresolved,3,3,9,Moderate,Open,Planned,Program Manager,2026-10-15,2026-11-16
133,25,202604,Financial,Forecast cost exceeds approved budget,2,2,4,Low,Open,Not Started,Project Manager,2026-04-11,2026-07-21
134,25,202503,Resource,Critical skill capacity constrained,2,3,6,Moderate,Open,Planned,Program Manager,2025-03-10,2025-05-09
135,26,202503,Compliance,Regulatory requirement unresolved,4,5,20,Critical,Mitigating,In Progress,Program Manager,2025-03-25,2025-05-03
136,26,202607,Resource,Key role vacancy,2,5,10,High,Mitigating,At Risk,Business Owner,2026-07-13,2026-10-22
137,26,202606,Technical,Architecture risk unresolved,3,4,12,High,Mitigating,In Progress,Business Owner,2026-06-08,2026-07-17
138,26,202604,Resource,Critical skill capacity constrained,2,5,10,High,Mitigating,At Risk,Business Owner,2026-04-17,2026-06-01
139,26,202506,Financial,Forecast cost exceeds approved budget,2,4,8,Moderate,Mitigating,In Progress,Project Manager,2025-06-12,2025-08-31
140,26,202502,Schedule,Critical milestone slippage,5,5,25,Critical,Open,Planned,Program Manager,2025-02-12,2025-06-10
141,26,202505,Schedule,Critical milestone slippage,4,4,16,Critical,Closed,Complete,PMO,2025-05-17,2025-09-06
142,26,202502,Compliance,Approval dependency outstanding,4,5,20,Critical,Open,Planned,PMO,2025-02-15,2025-05-01
143,26,202502,Change Management,Adoption readiness behind plan,3,5,15,High,Mitigating,In Progress,PMO,2025-02-13,2025-05-04
144,27,202607,Resource,Key role vacancy,1,3,3,Low,Open,Not Started,PMO,2026-07-14,2026-10-30
145,27,202511,Technical,Architecture risk unresolved,2,2,4,Low,Mitigating,At Risk,PMO,2025-11-06,2025-12-09
146,27,202504,Schedule,Critical milestone slippage,2,1,2,Low,Mitigating,In Progress,Program Manager,2025-04-11,2025-05-27
147,27,202511,Financial,Contingency reserve under pressure,1,2,2,Low,Mitigating,At Risk,Business Owner,2025-11-20,2025-12-26
148,28,202609,Financial,Forecast cost exceeds approved budget,3,2,6,Moderate,Open,Not Started,Business Owner,2026-09-22,2026-12-12
149,28,202511,Financial,Contingency reserve under pressure,1,4,4,Low,Mitigating,On Track,Program Manager,2025-11-06,2026-01-26
150,28,202511,Technical,Architecture risk unresolved,2,3,6,Moderate,Closed,Complete,PMO,2025-11-11,2026-01-01
151,29,202601,Schedule,Critical milestone slippage,3,2,6,Moderate,Closed,Complete,Project Manager,2026-01-12,2026-04-15
152,29,202511,Resource,Specialist allocation conflict,2,3,6,Moderate,Mitigating,On Track,Project Manager,2025-11-14,2025-12-20
153,29,202607,Financial,Vendor spend trending above plan,2,2,4,Low,Open,Not Started,Technical Lead,2026-07-16,2026-10-15
154,30,202601,Compliance,Control evidence incomplete,3,3,9,Moderate,Open,Planned,Program Manager,2026-01-22,2026-04-13
155,30,202609,Financial,Contingency reserve under pressure,2,5,10,High,Open,Planned,PMO,2026-09-24,2027-01-12
156,30,202605,Schedule,Dependency delay threatens delivery,3,4,12,High,Mitigating,On Track,Technical Lead,2026-05-22,2026-07-26
157,30,202602,Financial,Forecast cost exceeds approved budget,3,4,12,High,Open,Not Started,Technical Lead,2026-02-17,2026-04-29
158,30,202601,Technical,Technical debt threatens delivery,4,4,16,Critical,Open,Not Started,Technical Lead,2026-01-24,2026-03-25
159,31,202601,Resource,Key role vacancy,2,3,6,Moderate,Mitigating,In Progress,Technical Lead,2026-01-23,2026-05-20
160,31,202601,Resource,Critical skill capacity constrained,2,3,6,Moderate,Closed,Complete,Technical Lead,2026-01-14,2026-02-27
161,31,202603,Resource,Critical skill capacity constrained,3,2,6,Moderate,Open,Planned,Project Manager,2026-03-16,2026-06-16
162,31,202512,Resource,Specialist allocation conflict,1,4,4,Low,Mitigating,On Track,Business Owner,2025-12-09,2026-03-06
163,31,202511,Vendor,Third-party dependency at risk,2,2,4,Low,Open,Planned,Program Manager,2025-11-06,2026-02-18
164,32,202602,Resource,Critical skill capacity constrained,4,3,12,High,Open,Not Started,Technical Lead,2026-02-09,2026-05-16
165,32,202604,Resource,Key role vacancy,4,4,16,Critical,Mitigating,At Risk,Program Manager,2026-04-15,2026-07-21
166,32,202503,Resource,Critical skill capacity constrained,3,5,15,High,Open,Not Started,PMO,2025-03-06,2025-04-14
167,32,202511,Schedule,Dependency delay threatens delivery,3,3,9,Moderate,Mitigating,On Track,Technical Lead,2025-11-10,2026-02-07
168,32,202511,Resource,Specialist allocation conflict,3,5,15,High,Mitigating,At Risk,Business Owner,2025-11-07,2025-12-24
169,32,202611,Scope,Scope growth not fully funded,3,4,12,High,Closed,Complete,Program Manager,2026-11-06,2026-12-22
170,32,202508,Financial,Forecast cost exceeds approved budget,2,4,8,Moderate,Open,Planned,PMO,2025-08-23,2025-10-17
171,33,202608,Vendor,Supplier capacity constraint,4,5,20,Critical,Closed,Complete,Technical Lead,2026-08-06,2026-09-19
172,33,202609,Technical,Architecture risk unresolved,3,4,12,High,Mitigating,On Track,PMO,2026-09-24,2026-11-17
173,33,202610,Compliance,Regulatory requirement unresolved,5,5,25,Critical,Mitigating,In Progress,PMO,2026-10-16,2027-02-09
174,33,202612,Financial,Forecast cost exceeds approved budget,3,5,15,High,Closed,Complete,Program Manager,2026-12-15,2027-01-29
175,33,202605,Resource,Key role vacancy,5,4,20,Critical,Mitigating,On Track,PMO,2026-05-09,2026-08-31
176,33,202512,Schedule,Testing window compressed,5,4,20,Critical,Open,Planned,PMO,2025-12-06,2026-02-05
177,33,202512,Resource,Specialist allocation conflict,4,5,20,Critical,Mitigating,At Risk,Project Manager,2025-12-21,2026-02-14
178,33,202608,Change Management,Stakeholder resistance increasing,4,5,20,Critical,Open,Planned,PMO,2026-08-25,2026-11-08
179,33,202502,Schedule,Testing window compressed,4,4,16,Critical,Open,Not Started,Business Owner,2025-02-11,2025-04-26
180,33,202605,Schedule,Dependency delay threatens delivery,5,5,25,Critical,Mitigating,On Track,Project Manager,2026-05-24,2026-08-05
181,34,202602,Resource,Key role vacancy,4,5,20,Critical,Open,Not Started,Project Manager,2026-02-19,2026-03-26
182,34,202506,Schedule,Dependency delay threatens delivery,5,4,20,Critical,Open,Planned,Program Manager,2025-06-17,2025-09-19
183,34,202608,Technical,Integration complexity exceeds plan,4,5,20,Critical,Open,Not Started,Program Manager,2026-08-12,2026-09-30
184,34,202509,Schedule,Critical milestone slippage,5,4,20,Critical,Mitigating,On Track,Program Manager,2025-09-19,2025-10-21
185,34,202504,Schedule,Testing window compressed,5,5,25,Critical,Mitigating,At Risk,Technical Lead,2025-04-08,2025-08-06
186,34,202608,Financial,Forecast cost exceeds approved budget,3,4,12,High,Open,Planned,Technical Lead,2026-08-16,2026-10-11
187,34,202504,Vendor,Supplier capacity constraint,3,5,15,High,Closed,Complete,Technical Lead,2025-04-22,2025-07-20
188,35,202508,Financial,Contingency reserve under pressure,2,5,10,High,Open,Not Started,Business Owner,2025-08-18,2025-10-22
189,35,202610,Schedule,Dependency delay threatens delivery,2,5,10,High,Mitigating,In Progress,PMO,2026-10-24,2027-01-04
190,35,202505,Financial,Vendor spend trending above plan,3,4,12,High,Open,Planned,Business Owner,2025-05-25,2025-08-15
191,35,202506,Schedule,Dependency delay threatens delivery,4,4,16,Critical,Mitigating,In Progress,Business Owner,2025-06-24,2025-08-01
192,35,202510,Schedule,Testing window compressed,3,5,15,High,Mitigating,On Track,Project Manager,2025-10-23,2025-12-05
193,35,202610,Technical,Architecture risk unresolved,3,4,12,High,Closed,Complete,Program Manager,2026-10-11,2027-01-18
194,35,202512,Resource,Specialist allocation conflict,3,5,15,High,Open,Not Started,Project Manager,2025-12-16,2026-03-23
195,35,202511,Vendor,Supplier capacity constraint,4,4,16,Critical,Mitigating,On Track,Project Manager,2025-11-25,2026-03-05
196,36,202605,Technical,Integration complexity exceeds plan,2,2,4,Low,Closed,Complete,Program Manager,2026-05-09,2026-07-12
197,36,202512,Schedule,Testing window compressed,2,2,4,Low,Mitigating,In Progress,PMO,2025-12-15,2026-03-19
198,36,202609,Financial,Forecast cost exceeds approved budget,3,3,9,Moderate,Closed,Complete,Project Manager,2026-09-24,2026-10-29
199,36,202510,Vendor,Vendor deliverable delayed,3,2,6,Moderate,Closed,Complete,Project Manager,2025-10-18,2025-12-11
200,36,202503,Resource,Key role vacancy,1,3,3,Low,Mitigating,At Risk,Technical Lead,2025-03-20,2025-06-04
201,37,202509,Vendor,Supplier capacity constraint,1,3,3,Low,Mitigating,At Risk,Technical Lead,2025-09-09,2025-11-01
202,37,202606,Resource,Critical skill capacity constrained,4,3,12,High,Mitigating,On Track,Business Owner,2026-06-16,2026-09-02
203,37,202507,Resource,Key role vacancy,1,2,2,Low,Closed,Complete,Business Owner,2025-07-14,2025-10-25
204,38,202507,Scope,Scope growth not fully funded,3,3,9,Moderate,Closed,Complete,Program Manager,2025-07-18,2025-11-01
205,38,202609,Compliance,Control evidence incomplete,4,2,8,Moderate,Mitigating,At Risk,Program Manager,2026-09-17,2026-12-22
206,38,202506,Compliance,Approval dependency outstanding,4,3,12,High,Mitigating,On Track,Technical Lead,2025-06-19,2025-08-22
207,38,202610,Resource,Key role vacancy,4,4,16,Critical,Mitigating,On Track,PMO,2026-10-25,2027-01-24
208,38,202507,Resource,Specialist allocation conflict,3,4,12,High,Closed,Complete,Business Owner,2025-07-08,2025-10-31
209,38,202603,Resource,Critical skill capacity constrained,4,4,16,Critical,Mitigating,In Progress,Program Manager,2026-03-23,2026-06-12
210,38,202612,Financial,Vendor spend trending above plan,2,2,4,Low,Open,Planned,Project Manager,2026-12-17,2027-01-23
211,39,202504,Technical,Integration complexity exceeds plan,2,2,4,Low,Closed,Complete,PMO,2025-04-13,2025-05-21
212,39,202508,Schedule,Critical milestone slippage,2,3,6,Moderate,Closed,Complete,Business Owner,2025-08-16,2025-11-12
213,39,202501,Financial,Forecast cost exceeds approved budget,3,2,6,Moderate,Closed,Complete,PMO,2025-01-18,2025-03-15
214,39,202603,Schedule,Dependency delay threatens delivery,2,2,4,Low,Mitigating,On Track,Program Manager,2026-03-13,2026-05-15
215,39,202607,Resource,Critical skill capacity constrained,2,3,6,Moderate,Mitigating,On Track,Business Owner,2026-07-14,2026-09-04
216,40,202606,Resource,Critical skill capacity constrained,5,2,10,High,Open,Not Started,Program Manager,2026-06-06,2026-08-23
217,40,202510,Resource,Specialist allocation conflict,2,3,6,Moderate,Mitigating,In Progress,Project Manager,2025-10-16,2025-11-27
218,40,202603,Resource,Specialist allocation conflict,4,3,12,High,Open,Not Started,Technical Lead,2026-03-14,2026-07-11
219,40,202501,Schedule,Dependency delay threatens delivery,3,3,9,Moderate,Open,Not Started,Technical Lead,2025-01-23,2025-05-14
220,40,202507,Compliance,Control evidence incomplete,4,3,12,High,Mitigating,On Track,PMO,2025-07-07,2025-10-15
221,40,202509,Schedule,Dependency delay threatens delivery,2,3,6,Moderate,Mitigating,In Progress,Program Manager,2025-09-11,2025-11-12
222,41,202506,Technical,Technical debt threatens delivery,1,3,3,Low,Closed,Complete,Project Manager,2025-06-19,2025-07-23
223,41,202604,Schedule,Critical milestone slippage,1,1,1,Low,Open,Planned,Project Manager,2026-04-06,2026-07-27
224,41,202505,Vendor,Third-party dependency at risk,2,2,4,Low,Closed,Complete,PMO,2025-05-12,2025-07-21
225,42,202510,Resource,Specialist allocation conflict,2,2,4,Low,Closed,Complete,Project Manager,2025-10-12,2025-12-10
226,42,202603,Schedule,Critical milestone slippage,1,2,2,Low,Closed,Complete,Business Owner,2026-03-26,2026-05-10
227,42,202612,Compliance,Regulatory requirement unresolved,3,3,9,Moderate,Mitigating,In Progress,Program Manager,2026-12-12,2027-01-24
228,42,202608,Compliance,Regulatory requirement unresolved,1,2,2,Low,Closed,Complete,Technical Lead,2026-08-16,2026-10-20
